invoice_id,siren,vendor_name,iban,amount,currency,invoice_date,posting_date,po_number,user_id,cost_center,gl_account,is_fraud,fraud_type
INV00001879,562328588,Meunier SA,FR8621752500743292712966667,2013.92,EUR,2024-08-01,2024-08-01,PO178589,U028,CC860,6065,False,none
INV00001417,064317139,Auger Maillot SA SA,FR4860917798270808697829221,135.72,EUR,2025-09-19,2025-09-22,,U021,CC671,6061,False,none
INV00002968,100225579,Menard Brunel S.A. SARL,FR8520715116966672521452647,1346.18,EUR,2024-10-09,2024-10-14,PO979051,U004,CC866,6065,False,none
INV00001020,346578713,Hubert SCI,FR0310033092327193745299124,991.12,EUR,2025-08-12,2025-08-18,PO237566,U026,CC858,6132,False,none
INV00004724,462265676,Rodrigues SARL,FR2408115562606029084668455,132.57,EUR,2025-08-31,2025-09-05,PO684493,U029,CC209,6132,False,none
INV00000279,215064890,Dubois SASU,FR5318481973741897215406417,550.59,EUR,2025-11-13,2025-11-15,PO727847,U024,CC271,6135,False,none
INV00002170,444713247,Adam SA,FR5709178513854457702992959,6123.06,EUR,2024-05-27,2024-05-29,PO470922,U012,CC158,6181,False,none
INV00000586,902787429,Muller Laporte S.A.S. SA,FR3892753269731121965652341,259.11,EUR,2024-11-05,2024-11-11,PO959416,U025,CC593,6061,False,none
INV00002991,207501102,Gillet SCI,FR2553970548739610290871827,528.38,EUR,2024-12-07,2024-12-11,PO608117,U029,CC813,6063,False,none
INV00002201,102499471,Baron et Fils SAS,FR0223253672946671168457759,1657.22,EUR,2024-04-19,2024-04-21,PO807181,U006,CC536,6132,False,none
INV00001448,910430068,Collin SARL SARL,FR3438318491966553307704611,1079.96,EUR,2024-08-07,2024-08-12,PO572665,U024,CC652,6065,False,none
INV00001658,184498926,Noël SA,FR3275957498855829849330674,817.96,EUR,2024-08-30,2024-09-02,PO391158,U000,CC537,6135,False,none
INV00001261,018451462,Godard S.A.R.L. SASU,FR2956981693406088356159514,4940.6,EUR,2025-01-03,2025-01-08,,U029,CC522,6061,False,none
INV00004304,086353654,Rémy SAS,FR9096443098591679541072728,788.29,EUR,2025-07-01,2025-07-06,PO973888,U029,CC764,6061,False,none
INV00002420,404157473,Mace S.A.R.L. SAS,FR9500159416516231981898471,6567.27,EUR,2024-08-01,2024-08-01,PO598908,U019,CC420,6061,False,none
INV00001717,038567700,Rémy SAS,FR1374223196463004023693626,1138.73,EUR,2024-05-27,2024-05-27,,U019,CC172,6063,False,none
INV00002770,671902294,Alves et Fils SARL,FR0589113529096561014388899,4379.95,EUR,2024-03-11,2024-03-11,PO527191,U012,CC112,6068,False,none
INV00003641,895798687,Bigot SASU,FR0482911467866912517785289,5780.22,EUR,2024-09-10,2024-09-12,PO894981,U015,CC359,6061,False,none
INV00004815,171339596,Lévêque SA,FR4414754102252677119642152,6236.12,EUR,2024-08-09,2024-08-09,PO823103,U017,CC341,6065,False,none
INV00005126,526965827,Lebreton S.A. SA,FR0284964985601256253135525,70613.62,EUR,2025-07-26,2025-08-01,PO319952,U006,CC795,6061,True,amount_outlier
INV00003333,182688615,Briand Traore SARL SASU,FR0346040142473107201137984,375.85,EUR,2024-06-16,2024-06-23,PO146977,U008,CC568,6063,False,none
INV00004099,759579472,Allain Robin et Fils SARL,FR9137326530601198756178688,2067.33,EUR,2024-06-02,2024-06-08,PO504375,U017,CC116,6181,False,none
INV00003914,308488725,Brun Rousseau S.A.R.L. SASU,FR1123959473721329016204787,1301.21,EUR,2024-10-04,2024-10-06,PO538924,U008,CC258,6135,False,none
INV00004393,200342442,Leblanc EURL,FR3552597107563353574859532,670.44,EUR,2024-04-20,2024-04-27,PO568725,U007,CC954,6065,False,none
INV00002380,693801184,Delannoy EURL,FR2388995729893762974549303,491.51,EUR,2025-05-09,2025-05-16,PO894323,U012,CC243,6228,False,none
INV00005036,906120347,Perrin S.A.S.U,FR7123859514346823948400273,2957.94,EUR,2024-10-30,2024-11-05,PO244251,U011,CC383,6065,True,duplicate_fuzzy
INV00001351,225358414,Leconte Bertrand SA SA,FR1454364597010822078113799,415.63,EUR,2025-02-26,2025-03-03,PO968487,U014,CC586,6135,False,none
INV00002997,906120347,Perrin SASU,FR7123859514346823948400273,624.94,EUR,2024-10-18,2024-10-20,PO526267,U017,CC359,6135,False,none
INV00002629,057202590,Gros SA,FR3823945354614707986321061,1858.38,EUR,2024-04-27,2024-05-04,PO692059,U006,CC276,6132,False,none
INV00004554,086353654,Rémy SAS,FR9096443098591679541072728,2078.93,EUR,2025-03-22,2025-03-27,PO510305,U023,CC243,6061,False,none
INV00001128,239431290,Diaz SAS,FR7139527536749785249141686,4072.15,EUR,2024-10-05,2024-10-11,PO469124,U024,CC322,6181,False,none
INV00002233,532931839,Cousin SARL,FR4322698485833394522885158,1935.92,EUR,2024-02-21,2024-02-21,PO365959,U013,CC579,6228,False,none
INV00001840,888067065,Munoz SASU,FR6850461735743842150317807,1604.95,EUR,2024-05-16,2024-05-23,PO789625,U017,CC346,6063,False,none
INV00004796,508821009,Guillot Joseph S.A.S. SCI,FR5271690618120546475489547,10121.85,EUR,2025-06-30,2025-07-03,PO848050,U018,CC756,6063,False,none
INV00003902,231491357,Jacquet SA,FR0433399948532089532638902,275.8,EUR,2024-12-11,2024-12-17,PO908920,U025,CC803,6228,False,none
INV00000803,235116155,Guillon SA,FR5453287101226916697848018,14526.67,EUR,2024-11-11,2024-11-16,PO632216,U009,CC374,6132,False,none
INV00004503,339845461,Pascal SAS,FR2652924075536668459090225,60.99,EUR,2024-10-11,2024-10-13,,U014,CC765,6135,False,none
INV00002259,060715969,Huet SCI,FR8166322702672885744890612,941.63,EUR,2024-05-21,2024-05-28,,U005,CC110,6135,False,none
INV00004534,886101581,Thomas Richard S.A.S. SASU,FR5457666567491601692364587,1526.06,EUR,2024-08-08,2024-08-14,PO490304,U022,CC194,6061,False,none
INV00002164,327648350,Vallée SCI,FR8736026064746872343098050,485.85,EUR,2025-05-01,2025-05-02,PO986384,U026,CC666,6068,False,none
INV00000346,567982507,Delahaye EURL,FR7667146283143598926256609,6998.33,EUR,2024-08-21,2024-08-27,,U012,CC361,6132,False,none
INV00000393,833016571,Joubert S.A. SCI,FR8676064413432756041776561,2431.38,EUR,2024-09-20,2024-09-21,PO855299,U018,CC932,6132,False,none
INV00000472,182688615,Briand Traore SARL SASU,FR0346040142473107201137984,114.47,EUR,2025-09-30,2025-10-03,PO635118,U009,CC146,6065,False,none
INV00004567,977008860,Bigot SCI,FR5865754602734151488814311,882.85,EUR,2024-02-24,2024-02-25,PO369601,U008,CC252,6181,False,none
