vendor_id,siren,vendor_name,iban,address,ape_code,creation_date,is_active
V00000,104332181,Laurent et Fils SCI,FR1533218196001338908386379,"avenue Leblanc, 35259 Ledoux",5510Z,2005-05-17,True
V00001,001338908,Henry EURL,FR6461559407816184959310341,"chemin Cécile Bousquet, 46266 Monnier",4669A,1999-03-05,True
V00002,863794026,Leconte Da Costa et Fils SCI,FR7019283276483503056413953,"52, rue Vallet, 71651 Letellier",4799B,2019-04-11,True
V00003,235116155,Guillon SA,FR5453287101226916697848018,"51, rue Cécile Bernard, 92996 Charrier",5510Z,2009-08-10,True
V00004,078161849,Guillou Gautier et Fils SA,FR1389325288095701543039117,"82, rue de Aubry, 67993 Briand-sur-Lecomte",4799B,2006-03-04,True
V00005,310341316,Delannoy Langlois S.A.R.L. SASU,FR6557871331509839301031051,"93, boulevard Verdier, 60348 Cordier-sur-Mer",4799B,2018-11-15,True
V00006,525534192,Pereira et Fils EURL,FR4956670106513338726247317,"boulevard de Garcia, 12871 Brun",5510Z,2010-09-07,True
V00007,327648350,Vallée SCI,FR8736026064746872343098050,"98, rue Grégoire, 11971 Muller",4669A,2012-05-25,True
V00008,564139537,Parent S.A. SARL,FR0619399091699854353462475,"boulevard Geneviève Roussel, 10650 Guillou",4321A,2009-10-03,True
V00009,724238849,Payet SCI,FR6113542784980841241182449,"53, avenue de Deschamps, 07194 BaronVille",4321A,2007-11-23,True
V00010,653287101,Le Roux S.A. SASU,FR0242786801128059826204505,"61, avenue de Legendre, 95258 Goncalves",4669A,2017-09-11,True
V00011,269166978,Pasquier Laurent S.A. SCI,FR6256342160733754330365414,"668, rue Bertin, 22694 Morel",4799B,2021-01-29,True
V00012,018451462,Godard S.A.R.L. SASU,FR2956981693406088356159514,"75, chemin de Lenoir, 17296 Chartiernec",4321A,2007-10-13,True
V00013,482814893,Chauvet Colas SARL SARL,FR4380443699577738721489513,"12, rue Ollivier, 78970 Sainte Arnaude-sur-Mer",4669A,2009-11-01,True
V00014,288095701,Costa SA,FR8632016328708317278895798,"82, chemin Odette Hoarau, 81383 Vallée-sur-Mer",4799B,2009-08-13,True
V00015,303911718,Besnard SA,FR0743455812236231665876036,"7, rue Adrienne Léger, 97159 Tanguy-sur-Mer",4669A,1998-08-27,True
V00016,782489638,Vasseur SAS,FR3167065627298069901627204,"67, avenue Roger Chrétien, 53358 Sainte AlfredVille",8299Z,2005-04-21,True
V00017,346578713,Hubert SCI,FR0310033092327193745299124,"5, avenue de Chauvin, 91303 Saint François-la-Forêt",4669A,2018-02-20,True
V00018,509839301,Moreno SA SARL,FR7886518506716572628498776,"51, rue Odette Barthelemy, 72724 MarquesVille",8299Z,2007-10-31,True
V00019,031051834,Germain SCI,FR0473545494808313678377701,"53, boulevard de Tessier, 60666 Barrenec",8299Z,2002-03-16,True
V00020,382997376,Benard EURL,FR4374443135182337498941343,"90, chemin Lambert, 07666 Rocher",4669A,2019-12-07,True
V00021,165667010,Diaz Chrétien S.A.R.L. SARL,FR6109477752047116719022941,"avenue de Seguin, 76909 Jean-sur-Diallo",4321A,1999-07-05,True
V00022,513338726,Lebreton SCI,FR1549649909133412328120679,"4, chemin Martine De Sousa, 10803 Aubry",4669A,2011-01-30,True
V00023,731781080,Lamy Noël S.A.S. SA,FR8424210249947174648877190,"59, rue Rolland, 86956 Coste-sur-Lefebvre",6201Z,2003-09-01,True
V00024,267736026,Verdier SAS,FR1827874296717565512567468,"6, chemin Gabriel Leleu, 51985 Martindan",6201Z,1997-05-21,True
V00025,474687234,Vincent EURL,FR3185977034824771093248086,"8, rue Didier, 91398 Munoz-la-Forêt",4669A,2002-05-27,True
V00026,980500978,Guillet SARL,FR4837826398214658404499727,"98, avenue Tristan Roche, 89344 Jacob-sur-Rey",5510Z,2012-02-01,True
V00027,081219136,Bertrand SAS,FR8076627028951718702621745,"6, boulevard de Gillet, 40741 AllardVille",6201Z,2006-11-05,True
V00028,399091699,Huet et Fils SASU,FR9543161172400504556238692,"7, rue de Mahe, 74246 Pinto",5510Z,2019-04-22,True
V00029,435346247,Jacques SA,FR0607482175946474367136959,"70, rue Geneviève Torres, 97416 Vallet-sur-Mahe",4799B,2004-09-15,True
V00030,079911838,Diallo SARL,FR4339533942104709521456232,"542, chemin Océane Maillot, 15579 Saint Olivie-sur-Mer",4799B,2023-03-14,True
V00031,513542784,Pascal SAS,FR6316048175496513709859317,"31, rue Bailly, 63218 Saint Élise-les-Bains",5510Z,2008-06-18,True
V00032,808412411,De Sousa SCI,FR4086926179640537735158506,"8, rue Clerc, 81711 Saint Simone",8299Z,2008-08-22,True
V00033,244935348,Berger SASU,FR5993183933529042284210205,"30, rue Gilbert Traore, 53638 Saint Christelledan",4321A,2000-04-20,True
V00034,016400524,Blanchet SA,FR0417839084700766177115921,"698, boulevard Éléonore Cousin, 58617 Perret-sur-Perrin",4669A,2016-03-20,True
V00035,786801128,Bègue et Fils SCI,FR6283673657661565452711116,"92, boulevard Guilbert, 71437 Sainte Adriennenec",6201Z,2025-11-18,True
V00036,982620450,Hervé S.A.S. SA,FR9851983273158514936899809,"chemin Boutin, 97249 Marty",4799B,2006-08-25,True
V00037,315869232,Arnaud S.A. SAS,FR4661201836675254599102290,"86, avenue de Legros, 34320 Noëlboeuf",4669A,2015-04-15,True
V00038,025634216,Masson EURL,FR1097840369003432445107622,"98, chemin de Guérin, 50982 Sainte Alfred",6201Z,2005-08-28,True
V00039,337543303,Garnier EURL,FR0859696641605297516136968,"45, rue Denis Gros, 81216 Gros-sur-Mer",4321A,2025-05-08,True
V00040,414586850,Marty SA,FR6823124329212779979955271,"14, boulevard David Ruiz, 59562 Saint Alexandrie",6201Z,2020-10-07,True
V00041,294019655,Garnier SA,FR9019986798079359782071518,"avenue Navarro, 67635 Leroux-sur-Marchal",4321A,2017-12-14,True
V00042,816934060,Carre SASU,FR2865905151864492519254629,"365, boulevard de Morin, 82786 Grégoireboeuf",5510Z,2009-03-14,True
V00043,356159514,Étienne SARL SASU,FR1135733221418880592962229,"70, rue Capucine Bourdon, 36870 Rey-sur-Mer",5510Z,2002-02-25,True
V00044,656482366,Lelièvre SA,FR6535977468862392407581814,"97, avenue Robin, 28936 LévêqueVille",8299Z,2024-06-07,True
V00045,299468044,Vincent SCI,FR6185361530515220472779010,"98, rue Philippine Hervé, 30408 Saint Oliviernec",4669A,2009-07-04,True
V00046,995777387,Andre EURL,FR3179808932460953962185188,"70, chemin Océane Durand, 45907 Sainte OlivierBourg",8299Z,1999-10-16,True
